puzzles,solutions
905700200400060015001003800004010300200800040090026007706304150000082000300105902,985741236432968715671253894864517329257839641193426587726394158519682473348175962
007005203020040050109070000204007890030006000780019002000081005302000106500090427,847965213623148759159372648264537891931826574785419362476281935392754186518693427
100480020004061900060500700580000002007002630403910000091040503050097010008030070,175489326234761985869523741586374192917852634423916857791248563352697418648135279
000000000167800500509702041000408003070001080201000004003080005400500290605190700,842915367167843529539762841956428173374651982281379654793286415418537296625194738
320094015400001020061700000090040700010800260004102053970008300600450008008030000,327694815459381627861725439296543781513879264784162953975218346632457198148936572
300200000264031009095000000050080003009300017700040568010050042900802070003760091,378296154264531789195478236451687923689325417732149568817953642946812375523764891
708910200200000950001003000189002300000040000003000867060874010507000604090150020,748915236236487951951623478189762345675348192423591867362874519517239684894156723
403020008095007032008009710007056003060190020010000900200068409000002085030470060,473621598195847632628539714987256143564193827312784956251368479746912385839475261
800504000301060007900700468050040810002009006038002040007305000060907150000010709,876594231341268597925731468759643812412859376638172945197325684264987153583416729
300090008002800300400150200280000054094005100030607080500014060060020070701300009,356492718912876345478153296287931654694285137135647982529714863863529471741368529
073800000100096004640205010030050800001000502720900046507010090080007000200680350,973841625152396784648275913436152879891764532725938146567413298389527461214689357
008005060000000302341000700090000006002709510703504800016907205900300000000280104,278435961659178342341692758195823476482769513763514829816947235924351687537286194
000020501540930006027000040180092350000600000093017600050800002760001080009050004,638724591541938276927165843186492357275683419493517628354879162762341985819256734
005004000708620050000000927204006803093070001801000000060390470400800200507012609,925734186718629354346581927274156893693278541851943762162395478439867215587412639
408509030000100200500270040070056300901730604000040802002000100839000006065008097,428569731397184265516273948274856319981732654653941872742695183839417526165328497
700936002295000000008400701003601800860070000102500307000850146900010000000002053,714936582295187634638425791573641829869273415142598367327859146956314278481762953
460900083010060002008000950500006090740050000029810007603002740000003805002401000,467925183915368472238147956581736294746259318329814567693582741174693825852471639
600403050100000730005008012710084005509020008004060900030079081002500000900006407,627413859198652734345798612713984265569327148284165973436279581872541396951836427
000203060700050920001400000017090008004687053030002000009504600170030080506008010,498273561763851924251469837617395248924687153835142796389514672172936485546728319
100090750250001008070800030000006041820340006005020090003970004760203900080065010,138694752259731468476852139397586241821349576645127893513978624764213985982465317
090005600002008005100374000310200400000490700207001980064830590000009068030010070,893125647472968135156374829319287456685493712247651983764832591521749368938516274
000040807006300009702009150038290010600038900270604000801700400050080300400001006,395142867186375249742869153538297614614538972279614538861723495957486321423951786
080052910300040060050307028000160090209008670004009000908700105045010200006400030,487652913392841567651397428573164892219538674864279351938726145745913286126485739
020000740570806200401205030086403000152080000000602090000090307804300006700000100,628931745573846219491275638986413572152789463347652891265194387814327956739568124
090040003820097000001630900960000058104070200305008004000001465640250070000300802,796845123823197546451632987962413758184576239375928614239781465648259371517364892
005006070001000480600002105200890507090100300380057001070040093002071004400960000,835416279721539486649782135216893547597124368384657921178245693962371854453968712
500709300029016008360000400630004500001500600005030089090000025000020170074080000,518749362429316758367258491632894517981572643745631289193467825856923174274185936
700004010930000002008030054010206030000910670005007800301609047240070060000081090,752894316934165782168732954817256439423918675695347821381629547249573168576481293
460007058700000200003060410000052803000470090009100046810030020602048700050600900,461297358785314269923865417146952873538476192279183546814739625692548731357621984
605000000013790500870400000400000020708512090050300060500020600190807300007006804,645231987213798546879465231431689725768512493952374168584123679196847352327956814
000300040001020086003608705600402800007060120540007090206104070890000030005003409,768351942451729386923648715619432857387965124542817693236194578894576231175283469
000950710105004008060080000020003090009200047317008002004705600008300100090040230,843952716175634928962187453426573891589261347317498562234715689658329174791846235
037000042000092060500380100000006003015920407840071200100000030092108050008467000,937615842481792365526384179279846513615923487843571296164259738792138654358467921
023000091040090270000605000700800004002061003008400520200906850007340100081000409,523784691846193275179625348765832914492561783318479526234916857957348162681257439
500014080820000001006350200001640007300020060095007000900003408704580900000009732,579214683823796541416358279281645397347921865695837124962173458734582916158469732
008010596090230070706000004070000028601802700030407069409300000200005010000908305,328714596594236871716589234975163428641892753832457169459371682283645917167928345
000490050801300790020008103074000080005640002010900300030060075040172600600500800,763491258851326794429758163974213586385647912216985347132869475548172639697534821
800030000203508400000470006008051090502060000010009702040007803609003507000610240,874136925263598471951472386738251694592764138416389752145927863629843517387615249
000400008004007000750001023000900680908002001042560300010850006205000094090043107,321495768684327915759681423573914682968732541142568379417859236235176894896243157
009503004086000002753020000000800300070016290010009700230904068600000050001087900,129563874486791532753428619962875341874316295315249786237954168698132457541687923
600091407200300900001000062000080000080002574034059800800706030020000050097008001,653291487278364915941875362562487193189632574734159826815746239426913758397528641
030607802009000000400108950810070026760500304003040080100302060025000018007004000,531697842289435671476128953814973526762581394953246187148352769325769418697814235
904060130800302500000090007000580406050023098007100050005004801200900300160008020,974865132816372549532491687329587416451623798687149253795234861248916375163758924
100400020002009050405030700563080270004700690800001000001007400928006000300200560,186475923732169854495832716563984271214753698879621345651397482928546137347218569
069500012501403700000090600000012000730000980005700064203800009078020300400079005,369587412521463798847291653684912537732654981195738264253846179978125346416379825
850000409000090310097000580000028000620570130009430006310002804070040050000703600,853217469462895317197364582731628945624579138589431726316952874978146253245783691
800000600094003570200190000080600007075824000302001409000000830020007016109560004,813475692694283571257196348481639257975824163362751489746912835528347916139568724
070054300403201005060008000800000450100000689500607002002405006008003904790010020,271954368483261795965378241826139457137542689549687132312495876658723914794816523
300040006000900750120007904080001003560074200971060080004009508008006192000250000,397145826846923751125687934482591673563874219971362485234719568758436192619258347
080500004207001006056090700004007930060350100032109045140068070003000002009000850,381576294297431586456892713514627938968354127732189645145268379873915462629743851
300004010026503000040000200002806045050000090090030706107200680089067100005400030,378624519926513478541978263712896345653742891894135726137259684489367152265481937
060900010008020730900784000830047200090000586201000400105096008300008060004150000,762935814548621739913784652836547291497312586251869473175296348329478165684153927
039520000270000004005043600900400000004060871183000040000082560050100009700650020,439526718276891354815743692967418235524369871183275946341982567652137489798654123
007050010035062000410890020000000704620000009080406300000003005900570408043200601,297354816835162947416897523351928764624735189789416352178643295962571438543289671
075860000000052043120907008084700201910000006000590070002010905860000002300400080,475863129698152743123947568584736291917284356236591874742618935869375412351429687
010800205926000003300640000005420009000103020000050670647000000003000081082507400,714839265926715843358642197875426319469173528231958674647381952593264781182597436
000000090249510300057800106000407000908300460560020010000002000803090007726104080,681273594249516378357849126132467859978351462564928713495782631813695247726134985
200009340004083070081000600000375006002800009510006800050690021408201500000057000,275169348964583172381742695849375216632814759517926834753698421498231567126457983
007013800600800034003000020028140900070000600360097050050600741904020000000081005,247513869695872134183964527528146973479358612361297458852639741914725386736481295
870060090003074005509000100030420800020807460000190700150238040004005620007000001,872561394613974285549382176735426819921857463468193752156238947394715628287649531
760502030900047800000003001405000982003000607000208500090300064007605020100870000,761582439932147856854963271415736982283459617679218543598321764347695128126874395
000003000004198020009000701020000090061002300037400050600074008708209560510300004,156723489374198625289645731425837196861952347937461852693574218748219563512386974
407210000008005017060804000530900806000046050092700041010000209006502080003080700,457213698328695417169874523534921876781346952692758341815467239976532184243189765
018240500060000007400096030046008900309170280207000000000531890090060700002000004,718243569963815427425796138146328975359174286287659341674531892891462753532987614
600008020008790010450063007039100000170040000000920600905000060003000470002431008,697518324328794516451263897239186745176345289584927631945872163813659472762431958
007900060635020001410000700008006104090003002000058600500042093380560400070081200,827914365635827941419635728758296134196473582243158679561742893382569417974381256
083902005476000000005000408030205001000407080509300602004080096060000017002039000,183942765476853129295176438837265941621497583549318672354781296968524317712639854
200040105087350600046007820920000000300080040600500032400071059050930080001000000,239648175187352694546197823924763518315289746678514932463871259752936481891425367
092050001800090604500001030607028500030004092000100400301500008009260000254000307,492356781813792654576481239647928513135674892928135476361547928789263145254819367
300406021607009030004058000000905210590130700060000009040000106910003080275080040,359476821687219435124358697738965214592134768461827359843592176916743582275681943
260500301040030080000019050080725000050180094106000000090003705008000020705200069,269578341541632987873419652984725136357186294126394578492863715618957423735241869
210060050940000600060057020008129030030400800001600907350080000000500783000092160,217864359945213678863957421478129536639475812521638947356781294192546783784392165
075020600030910070480030000100206005590070804000409000050008930200040001008700506,975824613632915478481637259147286395596371824823459167754168932269543781318792546
160507000000900820070030050380004010000005004240003965050200170400060039900008206,162587493534916827879432651385694712796125384241873965653249178428761539917358246
006000028080019670045000903860050300300640100500170802009307000170400000000860005,916734528283519674745286913861952347327648159594173862659327481178495236432861795
000006004008200530032005007006070900140000028070400105010302050084100076009680000,591736284768294531432815697826571943145963728973428165617342859284159376359687412
069070008500000020080509047000030000300100895120060700040021973030600002800007410,469273158517486329283519647954738261376142895128965734645821973731694582892357416
026085009300406020090070401048031050150004007007060800000900740003000200060258090,426185379371496528895372461648731952159824637237569814582913746913647285764258193
600070039891300200004000165070081402548000000000007900000059006003008020102430700,625174839891365247734892165379681452548923671216547983487259316963718524152436798
000000061000503900428006007006034200080207610053010008300900004002005070791080306,539728461617543982428196537176834295984257613253619748365971824842365179791482356
001300050403000902286050700000030070100490020590601803820700560304008000000240010,971382456453176982286954731642835179138497625597621843829713564314568297765249318
720000810130600970000300200300069000000005091040870065470050180208041000509203007,726594813135628974894317256357169428682435791941872365473956182268741539519283647
500700400060803092000060080050039017700200940042000500627000000380910000004500870,538792461461853792279164385856439217713285946942671538627348159385917624194526873
003900400089006100210304007006851040007000802090000063700000950064073080001002006,673915428489726135215384697326851749547639812198247563732168954964573281851492376
010065020078009015900000004300700008061030400200400900720301000006080003809024057,413865729678249315952173684394712568561938472287456931725391846146587293839624157
090020030400970200005600019000090050000062803701084020360000701020043600950700080,896421537413975268275638419682397154549162873731584926368259741127843695954716382
014000006530002090000100503800490000023800910065270040000000805100300470700056200,214539786537682194689147523871493652423865917965271348392714865156328479748956231
500042000087000100490000507900003006000975800031600050009200003700106204068037910,516742398387569142492381567975813426624975831831624759149258673753196284268437915
970005040600040203000201800005400036360020000100000708490080017050000900720306500,972835641618947253534261879285479136367128495149653728496582317853714962721396584
018003000000045207720000010000610900050820003694007000540700800809062740001000596,418273659963145287725986314382614975157829463694357128546791832839562741271438596
001230004000870200600000093540680031307900520810005600070100060950703080000040000,791236854435879216628451793542687931367914528819325647273198465954763182186542379
000300000984200710610000009040050300201890405009070006030000102872500004000406830,527319648984265713613748529748652391261893475359174286436987152872531964195426837
000786310000050000705003800508000290027310008600009500009007003001240900806900040,492786315183452679765193824538674291927315468614829537249567183371248956856931742
400380095102000080030070600900006301005940006028050079001602008500004000096500140,467381295152469783839275614974826351315947826628153479741692538583714962296538147
002100046500308700170026809010003000089000052740000908050060084060007100900080603,832179546596348721174526839215893467689714352743652918357961284468237195921485673
400605009053091000060020087049000023080062005100000740500203900008070400700019602,472685319853791264961324587649157823387462195125938746516243978298576431734819652
008900100004000003320860040600000520800100030915206007200005904037480006001072000,758943162164527893329861745643798521872154639915236487286315974537489216491672358
020001003000807400009000016090018070102603000684020030050000204063090800908005001,427961583516837429839542716395418672172653948684729135751386294263194857948275361
700508200300100086540009130000000600000874000059060008021003049004201005900000710,716538294392147586548629137487915623263874951159362478621753849874291365935486712
200765000030000000045080071309500020002000890460003007900837105010900004086021030,291765348837149652645382971379518426152674893468293517924837165713956284586421739
030490020004280500000006007201030980000070306380015000020500040507100608960003000,635497821794281563812356497271634985459872316386915274123568749547129638968743152
300000007000002160605390002080400005940058301000079600079025000100006704203080010,324861957897542163615397482786413295942658371531279648479125836158936724263784519
800016000420900650009000730601450009085700200000600310090205004002840000508003007,857316492423987651169524738631452879985731246274698315396275184712849563548163927
007200850030900042000006300001042009680590001340060000060030008058004000020051760,497213856836975142215486397571342689682597431349168275164739528758624913923851764
300000401007023060019057020000830007002601003480009050050000602000098000904700010,325986471847123569619457328196835247572641983483279156758314692261598734934762815
170009040040510006030002908000187500005030080200600400300050700620901803007400009,178369245942518376536742918463187592795234681281695437319856724624971853857423169
890002007024006003000790046600250018073009000201400500030001060100000790002875400,896342157724516983315798246649257318573189624281463579437921865158634792962875431
100006700390450000826900100030012059000008064002609070008000000970020400050367020,145286793397451682826973145634712859719538264582649371268194537973825416451367928
900046001700000209025070080008093506000400000006502103100057028070010630034008000,983246751741835269625179384218793546357461892496582173169357428872914635534628917
900800540020500100001004903005037806070406200300000000087002001690080002400069305,936821547724593168851674923245937816178456239369218754587342691693185472412769385
010900073004001000007056920050007310100340708800100006020800004005260000738004600,516928473294731865387456921452687319169342758873195246621879534945263187738514692
000709680031002090700040000504690010270103800060000005905001206020030040008400700,452719683831562497796348521584697312279153864163284975945871236627935148318426759
000801060905007008080245000800000150014036020002900007200050001360700095009000684,437891562925367418186245973893472156714536829652918347248659731361784295579123684
105830000002471008004090023000000064051200090390050001607003040000920800810006002,165832479932471658784695123278319564451268397396754281627183945543927816819546732
700508000239040001586030702070300200308000605000487090052600409100000068000019000,714528936239746851586931742971365284348192675625487193852673419197254368463819527
100006000805000079203040500007100050001000706400209080700004810608750302000903040,174596238865312479293847561327168954981435726456279183739624815648751392512983647
004100302208003040000600790600840000500700001073009056007002604300501009902000580,794158362268973145135624798621845937589736421473219856857392614346581279912467583
070005300081600450260843190000090020800300000500120746010986000000000270409050000,974215368381679452265843197146597823827364915593128746712986534658431279439752681
000863100009000503810090024000010470040300902000705060064008000932670001050002700,425863197679421583813597624386219475547386912291745368764158239932674851158932746
005100008001652304300970600000000007209080503410700092000846000950010400007003081,765134928891652374324978615586329147279481563413765892132846759958217436647593281
090120070253407080007000903100500060004000509000060208320900100000058000645301000,896123475253497681417685923182539764764812539539764218328946157971258346645371892
000039602283000050070004001024300107000070905007605000800020090009416800630007000,415839672283761459976254381524398167368172945197645238841523796759416823632987514
000600945003021060080057010040000190506100702038070000010034009407006080009800500,271683945953421867684957213742365198596148732138279456815734629427596381369812574
820006405090000030100075802700800240006910507000000063209730000004100008508020900,827396415495281736163475892751863249346912587982547163219738654674159328538624971
030000008200380570000905400060050007700609010305810020806004003107002096000700102,539471268214386579678925431461253987782649315395817624826194753147532896953768142
840706001903804000000020000086270903000000006010050827109000500070093400052100600,845736291923814765761925384586271943297348156314659827139462578678593412452187639
500009741008530206010007030300010020640000009007800600000603800951000000003054902,536289741478531296219467538385916427642375189197842653724693815951728364863154972
041930800270000105809002740050004001007596402008070000090800000000060230300015064,541937826273648195869152743956284371137596482428371659694823517715469238382715964
090000008420017009605090073008009206940500000010342000001703800000061302504000010,197635428423817569685294173358179246942586731716342985261753894879461352534928617
000003609050007201002950400090360020500010096700008000074035010030409007060200080,487123659659847231312956478198364725543712896726598143874635912231489567965271384
706850030000301002503704000008602073009000405000000810300008509402000000870403001,726859134984361752513724698158642973639187425247935816361278549492516387875493261
000070000324000008705068300600081040000007250091204000040000067807103502009020800,986372415324915678715468329672581943438697251591234786243859167867143592159726834
032040050006209000070050006150670830000000967400800520240008079003100000080037400,932746158516289743874351296159672834328415967467893521241568379793124685685937412
004013000300980000201070050000092400506700120080100735000309070000640800409000012,854213967367985241291476358173592486546738129982164735618329574725641893439857612
815040900700830060000009210090000000040700820030150400080013075003460000006207009,815642937729831564364579218698324751541796823237158496482913675973465182156287349
240008009700093102000100070805000000900006420030710060004302805698500001003000700,241678359756493182389125674865234917917856423432719568174362895698547231523981746
300700000000298001807001506000304000230000980705600002129056403000900100460070005,312765849654298731897431526981324657236517984745689312129856473573942168468173295
409000000020010083308009510060503020007004050032006001000870160900042700706900005,419358672625417983378269514164593827897124356532786491243875169951642738786931245
024000139050008064970001005700300000085070210001004590200050000630700400000609082,824567139153298764976431825792315648485976213361824597248153976639782451517649382
000500046306007809019804030800009020000030070405600000063072500200401003980050012,728593146346217859519864237831749625692135478475628391163972584257481963984356712
002000060900003045007510809806000970030401502200908100004300000570006000608052003,452897361981623745367514829816235974739461582245978136124389657573146298698752413
000348916000500020000060800452000000100900007069080153605010070200030408803604000,527348916386591724914267835452173689138956247769482153645819372291735468873624591
000503906109020430040610070201050300090100504007306020605200001072400008800000090,728543916169827435543619872281954367396172584457386129635298741972431658814765293
070400018001006020005800403430008050060300701098025000083004690200000170000097002,376452918841936527925871463437168259562349781198725346783214695259683174614597832
060250109000073004972006500006000800250709003004180000000800952500040080031000607,463258179185973264972416538716324895258769413394185726647831952529647381831592647
065800012200730908009005400784020000093001060000079800000040320010007004038900005,365894712241736958879215436784623591593481267126579843657148329912357684438962175
600900005085000000700520014000603800200790000360010090000070400019040200027180063,642931785185467329793528614971653842258794136364812597836279451519346278427185963
380014000005920007420300009006159700040270006001006093800590000050000080700800064,389714625615928437427365819236159748948273156571486293864592371153647982792831564
070600329009050017080000600003765408005802000690310000000030084430070901000200570,574681329269453817381927645123765498745892136698314752957136284432578961816249573
002504010007260090840010000020430005069070040005921007500000036030000124010008500,692584713157263498843719652721436985369875241485921367574192836938657124216348579
000004602301802900070000050006281005700060400080003090012900078050300100809600004,598734612361852947274196853946281735723569481185473296612945378457328169839617524
090700014000002000703560008080040000309007006006820170008015240010009800605080300,592738614861492753743561928187946532329157486456823179938615247214379865675284391
907002040408539002065007300000074500006810290104000730000040080300950000000300106,937162845418539672265487319893274561576813294124695738652741983381956427749328156
009000403000050020000601895200003500690000007310904080503802000007430100800700006,159287463486359721732641895278163549694528317315974682563812974927436158841795236
040020030903060100007009280080070000006438090209006040060005310090640020508001007,845127936923864175617359284384972651156438792279516843462785319791643528538291467
000934500708050901053700006200000308060805020009100070427390800100600090000042700,612934587748256931953718246271469358364875129589123674427391865135687492896542713
005000000390040701406083000600270908081906000040100052070009080032000509000405320,725691834398542761416783295653274918281956473947138652574329186132867549869415327
001000240490830070602100005200040800009610030500003104130005906904000008050027000,381756249495832671672194385213549867749618532568273194137485926924361758856927413
070618050800705200009040000040800721200060530000500000938004070007000040065203819,372618954814795263659342187546839721291467538783521496938154672127986345465273819
002800409807200610350006002030070040985600000004008951506002000700001020000930107,162857439847293615359146782231579846985614273674328951516782394793461528428935167
060085000007020040509001603080000031640500700002094000003700908000056170100040025,364985217817623549529471683985267431641538792732194856453712968298356174176849325
700430500145090000830760200090028006070000104500000380200040910006580030004000007,762431598145892673839765241493128756678953124521674389287346915916587432354219867
300806005649010003070000010200304056000007084850000000085600902000030001010029460,321896745649715823578243619297384156136957284854162397485671932962438571713529468
100070005060290000504000030008360501300100970005040200006500100407810060290006008,189473625763295814524681739978362541342158976615947283836524197457819362291736458
000056230051000700207040000079030605080900000004602810800100064003008590400023080,948756231351289746267341958179834625682915473534672819825197364713468592496523187
000600000083049500059001720800063000437085210001200900700096050000000348015008007,174652839283749561659831724892163475437985216561274983748396152926517348315428697
904003702010900580007020003800600000030104060000075801300000905050040070102090346,964853712213967584587421693821639457735184269496275831348716925659342178172598346
090030205600075000800601400102050306000400107080003000073206008050010090406090003,791834265624975831835621479142759386369482157587163942973246518258317694416598723
108006000040002005056300071270061300009200050030058004004000007500710048093040600,128576493347192865956384271275461389489237156631958724814629537562713948793845612
000005000000120040105306908691800050520000370043600100007900402064581090300070000,482795631936128547175346928691837254528419376743652189857963412264581793319274865
679000100080050040403008900000040501300009086028700300910206000002500067007300200,679432158281957643453618972796843521345129786128765394914276835832591467567384219
906003002807600040240050930000300571005420000760800009620001300000000018010906054,956143782837692145241758936482369571195427863763815429624581397579234618318976254
000731000940500000030420608200006003007004581500100090605002000120000360003080700,856731924942568137731429658219856473367294581584173296675312849128947365493685712
520700041003098200000000530061005007200009000708206093300010060087002000040600985,529763841413598276876421539961385427234179658758246193395814762687952314142637985
032041090004000508780000030106507400093000025000024000010003070057089006000006109,532841697964732518781965234126597483493618725875324961619453872257189346348276159
040000503000098720706100094001680050802903060039541000000720100080006000093000002,948267513315498726726135894471682359852973461639541287564729138287316945193854672
081596000706020010009070038004700050900043170200000006000001360050080200072600405,381596724746328519529174638814762953965843172237915846498251367653487291172639485
020470500000058060410600082680017045000002037900500000008100600503040100700029004,826471593379258461415693782682317945154962837937584216248135679593746128761829354
000008700004513090003000205076000940000600000039451060080030452000090000160207380,651928734724513698893764215576382941418679523239451867987136452342895176165247389
690020000002004005073050060800030107740005030001800602064980010000340800010002790,695723481182694375473158269829436157746215938531879642264987513957341826318562794
600000500047903060080506409130000000020170038008402150000004007004820000359700020,691247583547983261283516479135698742426175938978432156812354697764829315359761824
000370001000080607010000480008106090500024010007900324240603000806005903090040500,684379251952481637713562489428136795539724816167958324245693178876215943391847562
000600001703080009009007240090021006062408000400003705008130050005006802000000934,824695371713284569659317248397521486562478193481963725248139657935746812176852934
076508000930070020201090000500802071600007040008304605007086010094000002100000503,476528139935471826281693457549862371613957248728314695357286914894135762162749583
024070000100500700085061003000180009600400015009003620900325001000900507043000098,324879156196534782785261943452186379637492815819753624978325461261948537543617298
290030650000901704000085090970600200650012000030000840000320407000057031040008000,291734658385961724467285193978643215654812379132579846519326487826457931743198562
520004000010080096000763000400007908300000012060238700675000340009050180140000060,526194873713582496894763521452617938387945612961238754675821349239456187148379265
300000005086070200042080937190000000605002008008006340000400700203860051009017602,317294865986573214542681937194738526635942178728156349861425793273869451459317682
072600080004102300050070006300210057206080903010000060089003041001004720000900500,972635184864192375153478296398216457246587913715349862589723641631854729427961538
300004600007380501280500700005000090760400003008019200510900002090702048000043060,351274689947386521286591734125837496769425813438619257514968372693752148872143965
040803160002407000010000049000009005901500803008260070500108200036005007204700090,745893162692417358813652749427389615961574823358261974579148236136925487284736591
040608020080004095057000801700490008003000100120075064200060300000009072500830010,941658723382714695657923841765491238493286157128375964214567389836149572579832416
002058670100092000468000000050700809010000345840010060900540003030907000607230500,392458671175692438468173952253764819716829345849315267921546783534987126687231594
024000068031005027600720040160309700908400100500087006300090800000201050009076000,724913568831645927695728341162359784978462135543187296316594872487231659259876413
001034060962700040007800251483000100000903000070050608100040307020060000504107900,851234769962715843347896251483672195615983472279451638196548327728369514534127986
000900260530140089070020000004509006060010800800000497405200003010608020200037010,148973265532146789679825341724589136963714852851362497485291673317658924296437518
090100504802400030003260087020010000507900306600050002170004900309080005000006870,796138524812475639453269187924613758587942316631857492178524963369781245245396871
082700016305120090090000800540860000070301200000004063100009725600000904820040000,482795316365128497791436852543862179976351248218974563134689725657213984829547631
700902605403000000090008100005010807260709030010600904030004789504006002020001000,781932645453167298692458173945213867268749531317685924136524789574896312829371456
200003050060071040000098301078309006405020080000000700500900430810650200007000600,281463957369571842754298361178349526495726183632185794526917438813654279947832615
140900602000032007709600108980070406065000070000801300030508210008420009004006000,143987652856132947729654138981375426365249871472861395637598214518423769294716583
002019000073000240800200650090708004300040000018300097680090070100070305004506008,562419783973685241841237659296758134357941826418362597685193472129874365734526918
800300001714000800002400975030059064600701003058002000040120000000080610200060709,895376421714295836362418975137859264629741583458632197946127358573984612281563749
010700009060050000008090473000204080403900062050000100200106048030000210900870006,314728659769453821528691473197264385483915762652387194275136948836549217941872536
968000100007200045005038700090450006030070000600001052280600090000004031140023007,968745123317269845425138769891452376532976418674381952283617594756894231149523687
004507000006420008159000070802630950000010320040700601600800000090005036370009240,284597163736421598159386472812634957567918324943752681625843719491275836378169245
005002741060090000703050600000047000010006008008000234000000000091025380207480590,985362741162794853743158629329847165514236978678519234856973412491625387237481596
027000609908540017015006000053090040000200800090001073200050080100604200004703001,427318659968542317315976428653897142741235896892461573236159784179684235584723961
004053108900700300608009502700008003840106900010040000060901020085000000002070641,274653198951782364638419572726598413843126957519347286467931825185264739392875641
385062100001300000096000870950037200000400006012508000003070560700000410040900030,385762194471389625296145873954637281837421956612598347123874569769253418548916732
005600030040013069020070001004950000083060100000408026600290004000100507709005080,195624738847513269326879451264951873983762145571438926658297314432186597719345682
087000012000080900300605070800370190000040307050290408600059040001002030025403006,587934612264187953319625874842376195196548327753291468638759241471862539925413786
008700001000200340400005280102698000070510000000007009030100650016000074059420000,328764591597281346461935287142698735973512468685347129834179652216853974759426813
607030000009010200020500784005200960300870010098600007051004000000005693206080500,687432159549718236123596784715243968362879415498651327951364872874125693236987541
000150002900040050708320006500003400310000097000260005070006230060094018040800709,634158972921647853758329146586973421312485697497261385879516234263794518145832769
040008030001402608300010000006005020100090050800700009903850004004063017602907005,249678531751432698368519472496185723127394856835726149973851264584263917612947385
