harder,solutions
980700600750000000004080090800090050000300006000002109040070060000100300000006002,983725614756914238214683597862491753491357826537862149345278961628149375179536482
980760500540000700007004090400079000070500000005000300050040080000600200000108005,981763524542891763637254198416379852379582416825416379253947681198635247764128935
987600000540000000000030900620300100008020000000006040290003600030190005000200000,987642531543819276162537984629384157458721369371956842295473618736198425814265793
000000001002003004050060020005007302080004000200050080008090060060700000920000100,736245891892173654451869723645987312183624975279351486318492567564718239927536148
980700000600000900007000050400030002008600005000004010070010040006900500000002003,982751364651483927347296158495138672128679435763524819879315246236947581514862793
980760000750008600006000000400300020008090500000000004020100003007050900000000010,983761245751248639246539187495317826638492571172685394829176453317854962564923718
000000001000002003003450060004000000360040070570600000005700830007500049800090000,649387251751962483283451967914875326362149578578623194495716832127538649836294715
980760500700050900000000080600090700004003000000000002100600079060007100000010005,983762514741358926256941387612495738574283691398176452125634879869527143437819265
980700600005040030000006000700200000001090040000008002400000090010050003009000105,984735621675142839132986574796214358821593746543678912458361297217859463369427185
980760000500000000007005900700008500050600040003200001070000300000400060000010002,984762135531984627267135984712348596859671243643259871478526319125493768396817452
980760000700000000005008400800003054050600300003050090020000001008006900000010020,982764513741532869365198472876923154259641387413857296527489631138276945694315728
980760500400300800005004060800900000709030600030006000090600300000020050000000010,983762541467315829215894763826947135749531682531286497192658374674123958358479216
980700600700600950005040000800003090007006800006800030600900300020000000009001000,984715623731682954265349187812453796397126845546897231658974312123568479479231568
980760000504000800007008000300200090009007400000900015005070009000890500000005040,981763254534129876627458931358241697169537482472986315845372169716894523293615748
980700600500080040003005000708600000020000006009020700090800200000010030000004001,982741653516382947473965128748659312321478596659123784194836275865217439237594861
020000080400009000000300005270000040006000100901008000000500001000060300800002070,123456789457189236689327415278615943546793128931248567362574891794861352815932674
987600000650000700000000000400000030006800500000020001009500800000018004000003020,987651243651432789243789156472165938136894572598327461329546817765218394814973625
980760500704000080050040000600080040030000000000500002090008005000400070000050801,982763514714925386356841927675382149239174658841596732197238465568419273423657891
003050009400000000080007400010008000700000000006030020000060005002900063000000140,123456789457189236689327451215648397734295618896731524341862975572914863968573142
980700600705600400000080090400070000030900004009006300300400900002000000000001005,983714652725639418146582793461273589237958164859146327318425976592367841674891235
980700600500900700000080095600500400003002050000000001400090006050600040000007000,984751632521936784367284195692518473713462958845379261478195326159623847236847519
980760500706004000050300000800000900090070053000900007200000075070800300000000010,983761542726584139154329786837245961492176853561938427218493675675812394349657218
980760500700400900036000000800047000050800000007090800500900400000020010000000059,981762543725483961436159278869247135254831796317695824573916482698524317142378659
980760500004500680003008000600070000040000700075400096400600900006000002000010000,982764531714532689563198247698375124241986753375421896427653918156849372839217465
980760500700080400030009000800050700020000000009100000600800074000070050000006800,984761523712385496536249187863954712125637948479128365651893274398472651247516839
980700000600500000004090300700000200001040090000007005009000120000800006000020030,983712654627534819514698372746953281851246793392187465479365128235871946168429537
980760500704000000035080900800030060050000039000500800090050600008000002000001000,981763524764295381235184976847932165156478239329516847492857613618349752573621498
600000009020040010003500200000090500010008030005273000004000100030020045750400008,678312459529847316143569287386194572217658934495273861964785123831926745752431698
980700600007050094000000700300005000002900047000042000100000000020090000009007025,984723651237156894516489732348675219652918347791342568175264983823591476469837125
980760500500009000007000000705008600040300000008006400006005800000020060000000041,981763524524189376367452189715248693649371258238596417476915832193824765852637941
980760000750000000004005870800006940040000003000240000090008450000650300000000001,981762534752834196364915872823176945647589213519243768196328457478651329235497681
980700600500080000007006000400000030050000004006050700020300001009070800000001020,981732645564189273237546918472618539853927164196453782728365491319274856645891327
980700600700050000004008097400003070090200000003090100300000902040009038000000060,985714623732956814614328597456183279197245386823697145368471952241569738579832461
980700000007060900000009070500040080030000002001600700200010030004006100000000005,985724316427361958163589274572943681639178542841652793296415837754836129318297465
000000001002003000030040050050630070078050030600000900080005004300400080700080000,497568321512793468836142759154639872978254136623817945281375694369421587745986213
000000001001002030040050600000300076080060900700000002008090000050400000609005400,865973241971642538342851697524319876183267954796584312438196725257438169619725483
100020300002300001040005060000080900500400003006000020900700500007008000010030007,165824379892367451743195862271683945589472613436951728928716534357248196614539287
000000001000002030000030420004000560006004000070800000005006300090100000800700009,238647951941582736657931428184279563526314897379865214715496382493128675862753149
980700000600500800004000030700000000050080600002001004090050700000002003000000010,981743256623519847574268139716425398459387621832691574398154762165972483247836915
980700000700060900006005000400000030008900500000003004020009010007500600000010002,985731246731462958246895371462157839318946527579283164823679415197524683654318792
980700600705090000043800000030007000007068300000300074000680400000002067000000010,982731645765294183143856729834917256257468391619325874571689432398142567426573918
980700600005040030000002000800001003200000000004060900070000050009050006000100490,982713645715648239643592871896471523257389164134265987471926358329854716568137492
980700600700050080004008000300500020009080000000032100200005070090000001006000204,985724613762351489134968752341596827629187345857432196213645978498273561576819234
980700600706500900043000000600900500090020000000000080100007006000100075000090100,982713654716542938543869217638971542495328761271654389154237896329186475867495123
980700600750000400003080070800070030030200000000001006070050090000400000000002100,982714653756923418413685972864579231137268549529341786278156394691437825345892167
000400080050009200600030001000500900300020006000008400000000000716000002032070000,123456789457189263689732541268541937345927816971368425594213678716894352832675194
980700600700500900005080040600050009000900030000067000500600300020000060000001005,984723651713546928265189743632458179847912536159367284598674312321895467476231895
980760500700000900004008000400050700003007000000400020100000056049006100000010009,982764513756231984314598267421653798893127645675489321137942856549876132268315479
980700600700050098005000000800040300030060000007300080200000001070400800009001020,981734652723156498465298173812945367534867219697312584258673941176429835349581726
980700600500600700000080040700500900030002007009006010100060070090007100005100000,982754631514623798367981245746518923831492567259376814123865479498237156675149382
980700600705400300003080000500900460090000003000002010400090000070600000056004900,984753621725461398163289745531978462892146573647532819418397256379625184256814937
987600000650000900000000000400080030090002001008500600009800700000010004000003020,987654312652138947314279856461987235795362481238541679149825763823716594576493128
980700600504060000000009000690007300005000000000600020360070900007903000000800001,982754613574361289136289475698127354725438196413695827361572948847913562259846731
980700600500900400003000020600400500009000008000010000400097060006050700000600004,984725613512963487763148925671482539329576148845319276458297361136854792297631854
980700600500000000007090085400080070000300000000002001090030050050070040004000703,981754632546823917237196485412685379869317524375942861798431256653279148124568793
980760500700050600000004070500003090020000300000020056200030900070800000001000000,983762514742158639615394278568473192129586347437921856254637981376819425891245763
980760500706500800004000060800900700000007080000003002100000078070100059000000100,981762534726534891354819267863921745219457683547683912135296478672148359498375126
980700600000050090005009700400030009058900060000800074090000000020001007007500080,982713645713456298645289713476132859158947362239865174591378426824691537367524981
980700000006090800000008000600080900005004070000300002060050100001000040000002003,984721365726593814153648729647285931235914678819376452362459187591837246478162593
980700600750060080006000000200090800038200900000004072070000003009050700000107000,982713654754962381316548297247691835138275946695834172871429563429356718563187429
980760500700508900006000000500080090040000800000400075400800700030002050000040010,983761542724538961156294387517683294249157836368429175495816723631972458872345619
980760500500403700030000060400508900050000008000020000100000095040000100005100007,984762513562413789731985264416578932253691478897324651178246395349857126625139847
980760000507000900040500080406050800000009004000000030020000008005900700000080010,981764352567328941243591687436152879752839164198476235324617598815943726679285413
980760500500400600003008070700600900000020007000000061600070090070500046050000000,981762534527439618463158279734615982816924357295387461648273195372591846159846723
980700600750040000003008070800005090030000200000100006090007030000400500000020001,984751623752346918613298475827635194136984257549172386491567832278413569365829741
980700600706080050004000000360007900000930000000060002090070800001000060000608090,985741623726389451134526789362157948418932576579864132693275814851493267247618395
980700600700090000050600094507300000030080005000060300400002000070800500000000010,984751623726493158153628794517349286632187945849265371465912837271834569398576412
000000001000002000003010450001006030030040070400100008015900000074000000300050710,567439821148562397923718456751896234836245179492173568215987643674321985389654712
980760500400300970000004008700030009002000300000200057200500700060000010004000090,981762534456381972327954168745138629692475381813296457238519746569847213174623895
980760000507004800034000000405800700090005000000040052006050400000008010000000008,981763245527914863634582197465829731792135684318647952876351429259478316143296578
980700600700050000004009073400005090008000200000810000307000006040003087000500000,983741652721356948564289173472635891138497265695812734357928416249163587816574329
980700600500900700000000098700050009060007500005600004600500400030000000000002010,984713625521986743376245198743158269269437581815629374698571432132864957457392816
980700600005040030000009000430000080200080000008004500010006007004020050000400100,983712645175648932642539871431975286256381794798264513319856427864127359527493168
980700000600000800007000050040070030009500700000002001008600900000030020000001004,981756342652493817437128659146879235329514786875362491218645973564937128793281564
000000000000001023004050601001000030050700000600010508010040806406000000800009000,138426957965871423274953681781695234352784169649312578513247896496538712827169345
980760500700400900005080000600000000073004600040630000300900700000020091000000050,982761534736452918415389276629815347173294685548637129351948762867523491294176853
980700600500090000007006000400000000006050780000007003020009017009200800008060900,982713645564892371317546298475938162236154789891627453623489517149275836758361924
980700000600000700007065000400003020008600500000008003020010004006800900000000010,985741236641382795237965481469153827318627549752498163823519674176834952594276318
980700600500060000006000070090400003008050900000002010020003000009080700000100004,983724651571369428246815379192478563738651942654932817827543196419286735365197284
987600500600900400000080000400500300020000040000041070300090000060000003004050600,987624531631975428245183769478569312126837945593241876352796184769418253814352697
980700000006050900000009040600090500003200001000007000300000002060030800005001004,984723165736154928152689347621498573873265491549317286318946752467532819295871634
980700600705000090004090007490300006007060930000020800340800060000001400000000000,981753624725416398634298157492385716857164932163927845349872561276531489518649273
980700600700050090004009000300500070002007006000000200100005030040300000003010800,985721643736458192214639785391562478452897316678143259167285934849376521523914867
980760500500408600000030080700600900020050000000000001400070090050000700000500046,981762534537418629246935187713684952624159873895327461462871395359246718178593246
980700600700050040054600700300005002060100500000009000070086000005010800000000070,983742615716358249254691738397465182862173594541829367179286453435917826628534971
000000001000023040004500000000106003020000700300082010002018030080000009130600000,653849271918723546274561398495176823821395764367482915542918637786234159139657482
980700000600500000004090600400080700007003050000200001040070900009001003000000020,985716234672534198314892675453189762127643859896257341248375916769421583531968427
000090000056700000780000500040009030007800900000020001005900600000010002000003040,314295876956748123782361594648159237127834965593627481435972618879416352261583749
980760500700800000004009080800006009007300000000007200400600700100000005070008041,981764532732815964564239187825146379617392458349587216458621793196473825273958641
000000001000023000002400050004060700020000060600200504006500020007608040980000000,463875291859123476172496358534961782728354169691287534346519827217638945985742613
980700000600000700007050000040003070006800500000020001008900600000040030000001002,984716253651382794237459168542193876316874529879625341428937615165248937793561482
020050000400709030700000000000800970000904300000020001000000006061000000800003400,123456789456789132789132564234861975615974328978325641347598216561247893892613457
980700600500600700000080040600500900050003007009000002100006090000100076000050100,984735621521694783367281549643572918852913467719468352178346295435129876296857134
980760500700009000006050000405008700030000040000005800070020001009007600000090000,984761523753249168216853479465938712837612945192475836678524391329187654541396287
000000001000002000003040560005400000070060800806500009007004030030700900500030780,684375291159682473723941568315498627972163845846527319297854136438716952561239784
980700000600090500004003000700500900002010040000000001060900800009000002000001030,985726314623194587174853296716548923592317648348269751461932875839475162257681439
980760500400000700005000086300057000050000300049300000090002050000400900000005010,981764532463528791275139486312957648856241379749386125194672853528413967637895214
000000001000002030003450600000004000000760300067003048070300500300000094504000000,792836451456192837813457629135284976248769315967513248679341582381625794524978163
980700600700600800005000040800900300030060000000037002100009006090076100000100008,981754623743692815265381749824915367537268491619437582178549236392876154456123978
000000001000002340003050000006005004040070005500200060060007050075006020800090000,482369571957182346613754892736915284248673915591248763369427158175836429824591637
980700600700050000004000000600300080000090703000002900501000060039600007000000800,983721654716458392254963178692374581148596723375182946521837469839645217467219835
980700600750000080006000007809500060040000003005400870008600090000040206000001000,982735641753164982416289357879523164641897523325416879138672495597348216264951738
987600500640500800003070000400085200020046000000200000060800400000001098000000050,987614523641532879253978164479385216325146987816297345762859431534721698198463752
980760500700800900040005000500600800008030050002000001059080600007900080000006000,981763524735824916246195378574619832618237459392548761159382647467951283823476195
100050000007009006000000540000008600060970008008200900300000000040300100006007002,123456789457189236689732541294518673561973428738264915375621894842395167916847352
980760500700400090040000600500034000090500004000070050400300070020000000000001008,982763541756418392143295687571834269398526714264179853415382976829647135637951428
980700600750000080006000000400030002070002000009500060007800090000040100000001003,982715634751463289346298517468139752573682941219574368137826495895347126624951873
980700600705000090004000000890600030050000008000020006670300009000070300000001070,983714625715236894264589713892645137356197248147823956671352489529478361438961572
980700600705600400003050080600900700050002006000000001009006500000500070000090004,982734615715628439463159287631985742857412396294367851149876523326541978578293164
980760500700080090005009000870006050004050300000020000450008060008000100000000004,981764523732581496645239718873496251264157389519823647457318962398642175126975834
500000009020100070008000300040702000000051000000600010003000800060004020900000005,514376289326189574798425361149732658687951432235648917453217896861594723972863145
000000000000001023004052600006000000040067500500003080060000009072100000400076200,287639154695741823314852697736518942849267531521493786168325479972184365453976218
980700600750060000006008000400003020007080900000200004010000030009050800000801009,983712645754369281126548397495673128267184953831295764518927436379456812642831579
000000001002003040040050600000060007080090100200004090020009080403500000900070000,639428571752613948841957632594861327387295164216734895125349786473586219968172453
980700600005096000000084000300400020090070400000000001200000050040007900001000003,984712635725396148136584297317468529592173486468925371279631854643857912851249763
980760000750400000003058700500079300000300020000000000300000001070005800000600073,982763154751492638463158792524879316817346925639521487345987261176235849298614573
980700000700000860006050000040030000008900500000002010009500600000010003000004020,982763154753421869416859372647135298128947536395682417239578641574216983861394725
980760000504000300020400080600000400040800020009000001000900704000070200000008090,983762145564189372127435986658217439341896527279354861836921754495673218712548693
980760500705008060046005007800600003004002050000010000060200040000540000000000800,981763524735428961246195387812659473694372158573814296369281745128547639457936812
980760500700040600003008000500070400000400020000100075400000009050000700007050064,982761543715243698643598217536972481178435926294186375461327859859614732327859164
980700600700500900043000050800900500050070000000020001000600005000087060000009800,985732614721564938643198257837941526152876349469325781278613495594287163316459872
900800700080090060005004000800030050050700000003009200100000002060000400008010030,946823715782591364315674829894236157251748693673159248137465982569382471428917536
980700600500060000006008070430000000009400023008090700005070900000100000000002001,982741635573269148146358279431827596759416823628593714315674982294185367867932451
000000001002003040004560007000000102020004080908000000030010600040700005200009000,683247951572193846194568327467985132321674589958321764735412698849736215216859473
000000001002003004030050060000040600004005030050300007040000076073860040900000800,489726351562193784137458962328947615794615238651382497845239176273861549916574823
980700600750400000003080050800000039030800700007002000000030098000007306000000100,984725613756413982123689457841576239239841765567392841672134598418957326395268174
020000080006009100700000004000590300001300000900001006000005600040000002800020070,123456789456789123798132564267598341581364297934271856372945618645817932819623475
980700600700600850005000000600070080090800006000004900300900400020030000010000003,982753614731642859465198237643279581297815346158364972376981425529437168814526793
000000001000002034003050600005040003070000000800900500006030010020008000930700000,247369851569182734183457692695841273374625189812973546756234918421598367938716425
000000001000002030004050600000007020008000003060080509049001000056700000800040900,975436281681972435234158697593617824128594763467283519749861352356729148812345976
120000700007000063600070010040000000000804090001060300000005000500900008002030100,123456789457189263689273415245391876736824591891567342318645927574912638962738154
980700600700900000005040070670008003030000007002000010000207040000010005000004100,984725631726931584315846972671498253538162497492573816169257348843619725257384169
000000001002003040050160700000800070007420000300007002004008030060000900900000005,873549261612783549459162783296835174587421396341697852124958637765314928938276415
980760500700059080000000000500400030040000000007006400200010000058007900006905800,981764523732159684465823179519482736643571298827396415294618357358247961176935842
980700600700000080006050000400000500003500070000002003010000307009800050007300060,985723614732416985146958732478139526623584179591672843814265397369847251257391468
980700600750060080006000000800000043030200070007080500100400020008090700000001000,981723654754169382326548917865917243439256178217384569193475826548692731672831495
980700000650000700007060000040030080008900500000002001009600800000010020000004003,983725416652149738417368295241536987368971542795482361129653874534817629876294153
980760500500400970000000008600000007095000600040600050400900700030000000000020001,984761523513482976276395148628154397395278614147639852462913785831547269759826431
020006700006000030700020040090005004000800010007040200010000008500900000002030400,123456789456789132789123546291375864645892317837641295314267958578914623962538471
000000001000023000004500060005002006040600070600010008059030000070000800400900050,587469321961723485324581967735842196148695273692317548859236714276154839413978652
980700600705600800004000030800500900050000000000020005100070090000100008000096100,982753614735614829614289537821537946359468271476921385168375492593142768247896153
980760500700500080000008900670005090004900300000000000460007050200100004000000200,982764513731592486546318927673845192824971365195623748469237851257189634318456279
980700000600050000004003200100004070007500400000020009060000080010300000005070300,981762543632458917574193268156934872297581436843627159369215784718349625425876391
980760500700000040050300800809000200020000030005200008500006000090800300008070001,984762513713958642256341897839615274621487935475293168542136789197824356368579421
000000001001002030040050600000070006060408000700500800009005000070080500300900002,537864921681792435942153687814379256265418379793526814129635748476281593358947162
980700600700080050005000800650040900003009000000000020540008700000460000000070010,984752631716983254235614879652147983173829546498536127541398762827461395369275418
980700600705600400000085000600930700000002000000000010300000004090006300006300079,982743651715629438463185297648931725571862943239457816357298164194576382826314579
000000001000002003004031050000200060001046005070000040003064500040800000960000000,352689471617452893894731256439275168281946735576318942723164589145893627968527314
000000001000002030004050600005000070060500800480070000008040700300900000506180009,832764951659812437714359682125498376967531824483276195298645713341927568576183249
980700600700050090004090007800600009007003800002000040460900070000001006000000000,985734612736152498124896537843617259597243861612589743461928375358471926279365184
100000089050000200000007040000060000060500300900008004070200000006030000800004010,123456789457189236689327145214963857768542391935718624371295468546831972892674513
980700600750060090006000000460000003009600580005900004520000000007802050000010000,984751632751263498236498715462185973379624581815937264528376149197842356643519827
000000001001023000450100020000000260000072030002400005005000003084300000200008900,928764351761523849453189726349815267516972438872436195195247683684391572237658914
980700600700060000050000900600800000004030820000004001000500700000010004000002030,983751642741269385256483917617825493594137826328694571132548769879316254465972138
980700600750060000006009000090004030007006500005070004000900002000080700000001090,984713625752468319316529478691854237247396581835172964468937152129685743573241896
980760500700080900000400070830050200010000000007003000500000026008020009000500800,981762534743185962256439178839657241615248793427913685594871326178326459362594817
980760000760000900005000000040003000007800500000020010008900600000040020000001093,982765431763184952415239786841593267327816549596427318138952674679348125254671893
980700000700000600006085000040000030005800700000002001009600500000010040000003002,981736254753421698426985173642197835315864729897352461239648517578219346164573982
980700600700090050005000009800400000040067000007030400200000010070001002030600800,983752641724196358615843729896415237342967185157238496268574913479381562531629874
980700000700060500006004070500003000020070100008400030090000002007040060000800001,984751326732968514156324879541283697329675148678419235495136782817542963263897451
980700600500090000007006000400000087090300040008040900005060700000902001000070800,981724635536891472247536198453619287192387546768245913315468729874952361629173854
980700600007065000000009070400000302020000000009500060300000100008600090000041000,985714623237865941641329875456197382723486519819532467394278156178653294562941738
980760500700050600005800000500070400070000030002100000400000095007090064000000700,984761523721359648365824179593672481178945236642183957436217895217598364859436712
003050700400009000080100000030000000000020075007000026010004000002010600900800010,123456789456789132789132564235647891691328475847591326318264957572913648964875213
980700600500090000007006000400003070008000500006950300009060700000207003000000010,984721635563894127127536498452613879398472561716958342239165784641287953875349216
980700600700000900006500000500090000007604090000050704300000002002905400000010000,983742651725861943416539287564197328837624195291358764359476812172985436648213579
980700600700000090006050700040000000009500060000090003008902050007600080000010200,985743612734261895126859734541386927379524168862197543418972356297635481653418279
000000001000023000004500060000001070005800600030000009020009000500600800607000040,352946781768123495914578362249361578175892634836457219423789156591634827687215943
980700600750040000003809050500007090030500200000080300070908030000030000000005001,984752613751643829263819457542367198837591246619284375176928534495136782328475961
000000001000023004005600070000004008030000100500900060050700030600002000907006800,368479521179523684245618973792164358436285197581937462854791236613852749927346815
980700600750060000006008000430000090005090800000002003007080500000100020000004001,981723645754961382326458719438615297215397864679842153147289536593176428862534971
980760500500408900006005000800000095004500087000000000400800700039002800000004010,982761543573428961146935278817246395624593187395187426461859732739612854258374619
000000012000003400005060003003006007060870000900050000007600008010000720400000900,634789512189523476725461893843196257562874139971352684297615348316948725458237961
980700600750000090006000000400000000030020004005900080007500060000070102000013000,982735641753164298146892735471358926839627514625941387217589463398476152564213879
000000012000003004001040500004060050070000200800900000006020005090008600300700000,469587312587213964231649578914862753675134289823975146746321895192458637358796421
980700600005900040000030009800070002050800090000006300500400010014000200000007004,981745623325968741467231859839574162156823497742196385573482916614359278298617534
980700600507000090040050800600500400000060003000004080060030500005200008000000001,982713645537486192146952837673528419894167253251394786769831524415279368328645971
980700600700500000004093000400200700070030080003000401300009040040320007007005000,985712634736548912214693578498251763671934285523867491352179846849326157167485329
980700600750400000003080050500037200030040008007001000300070095000004700000000006,984753621751462389623189457568937214132546978497821563346278195815694732279315846
000000001000002030034010500000006100020000704071040050000800400047030005900000000,562783941719452836834619572495376128328195764671248359156827493247931685983564217
980700600700050090004009080400003009003070000000020040300100700040000038007000000,981742653732856491654319287426583179513974862879621345368195724145267938297438516
980700600750040000003008000800070400065000000000002010070050860000100020000007003,982735641756941238413628579891376452265419387347582916179253864638194725524867193
980700600706090000005080000690007400003000000000060020400070800050400007000600001,981743652726195384345286179698527413273814596514369728462971835159438267837652941
980700000600090800005000000700800400060000000003002010040900600000003050000001002,982734561637195824415268397729816435164359278853472916541927683278643159396581742
980760500700080090005009000850007060004030000000000000470008050000200904000000100,982764513731582496645319728859427361124936875367851249473198652516273984298645137
980760500500008700000004098600070900030000000002000010200900065060020079000000200,983762541541398726726154398654871932139246857872539614217983465368425179495617283
980700600700000000005090800800050040054007006000003500090070480008200007000000001,981725634726834159435691872869152743354987216217463598192376485548219367673548921
980700600500090040000000007300400500020050003000900020200040050010000800006001000,982734615571692348643518297398427561724156983165983724237849156419365872856271439
980700600500080070007004000370020400008400090000000003010006002005800060000041000,981735624534682179627914538376129485158473296492568713719356842245897361863241957
980700600500900400003060080700000004060000500005000097600500900050096002000001000,982743615516982473473165289739258164164379528825614397648527931351896742297431856
980760500706004090030000000800090000209400060000000009607040020000600001000207000,981762534726354198435819672864593217219478365573126489657941823392685741148237956
980700600750000090006000000400030900005800070000000004020001000009500060000002103,984753621753126498216489537461237985395814276872695314527361849139548762648972153
980700000600080900005000070400030000008600700000004002010002090009500600000000013,982745136647381925135296478426137859358629741791854362813462597279513684564978213
000000001000002000003040050000060503005700600060400070004050860006070030900800000,452683791679512384813947256791268543345791628268435179124359867586174932937826415
000000001000002030004050600000700002008000003050040900045007000069100000800060400,582436791916872534734951628693715842478629153251348967145297386369184275827563419
980700600500096000000000000470009800008400030005800000060040700050007080002000001,981724653527396148346518297473659812298471536615832974869143725154267389732985461
980700600500600700000050040700900500050080000030070002100000050070090100000100067,982714635514623789367859241748962513259381476631475892196247358873596124425138967
980700600500600000004090070300009000050800003009050020001007200000900010000010407,983742651517638942264195378328479165456821793179356824841567239732984516695213487
003050700050080000709003000030008900600000020090007560070005800004000000000100070,123456789456789132789213456235648917647591328891327564372965841514872693968134275
980700600750000080006000000500040300008600050000030000020000501009500860000300092,981753624753462189246198735592847316438619257617235948324986571179524863865371492
980760500500400900004000080700500300000040006000002000100050030009000100007100005,982763514513428967674915283761589342298341756345672891126857439459236178837194625
980700600705000040003000009630020800009800000000603000370006200000200000000070001,981754623725369148463182759637521894519847362842693517374916285198235476256478931
980700600500080070007006000600004803049000007008600090006500080000008200000001000,982715634561483972437926518675194823349852167218637495726549381194378256853261749
980700600700000080005000000670400008000600940000030700460800090002000000000001006,984723615726154389135968427679412538513687942248539761461875293852396174397241856
100400080000000006080007500204000000010200090900030000000060007001800020090005300,123456789457189236689327541234591678516278493978634152345962817761843925892715364
980700600700050000004008070400003080090000002008100000300600200040007090000010500,981732645763451928524968371415293786697845132238176459359684217146527893872319564
000000001002003040050060720000007800080605000900080060001000030060070900400200000,679542381812793645354168729146927853287635194935481267721859436568374912493216578
980700600750060080006000000800004000005080900000000030029001800007800002000050701,981732654754169283236548179893624517145387926672915438329471865517896342468253791
980700600700090050004000000500003090070200800003000004010006000007100080000027100,982745613731692458654318927546873291179264835823951764215486379467139582398527146
980700600500800700004000098600000009050000300003500076300600900060020010000008003,981745632536892741274316598617234859859167324423589176342651987768923415195478263
980700600500090070007004000350000006008500090000023100010000002005400060000080500,983752614542196873167834259351978426628541397794623185819365742235417968476289531
000000001000002030004050600007000003065008009900070500009001000070060900400800020,732986451596412837814357692147695283365248179928173564689721345273564918451839726
980760500405008070000000000704005800090000003000020047308007005040000000000100080,981764532465238179237519468724395816896471253153826947318947625542683791679152384
000000001000002030004050600007100000040800003900060700009500002070090500605008000,723684951856912437194357628267143895541879263938265714489536172372491586615728349
003400000050009000600020001200060070090002000004500000000000027800070010000003068,123456789457189236689327451215964873398712645764538192546891327832675914971243568
980700600500600400000030080700400500040002000009000001400007050090040700000900060,984725613513698472267134985728419536341562897659873241436287159195346728872951364
980760500500004000004009870390000000040005009005000700200090000070100905000007030,982763514567814392134529876398276451741385629625941783253498167876132945419657238
980760500700500080005000006400000003008390050000000000020003100009870060000000008,983762541762514389145938276496257813278391654531486927827643195319875462654129738
980700600750400300003085070800037090030040000000800000070058030000200050000000001,981723645752469318643185972826537194539641827417892563174958236368214759295376481
980760500700040900003000070600050200010002000007800000400000029006020054000000600,981763542762145938543289176694357281318492765257816493435671829176928354829534617
980700000600000700007050000040008030006500800000002001009800600000010040000003002,982764153654381729317259468745198236126537894893642571439825617278916345561473982
980700600500600400003080000700400900040000020000001000400007009090006500050900040,984723615572619483163584297731462958649875321825391764416257839398146572257938146
980700600700050090004000000640900080000083006000000900460800009002000800000001740,983714652716352498524698137647925381291483576358176924465837219172549863839261745
980700600500090000007006000400300000008070500000002030010400020005060700000001006,982734615561298473347516289476385192238179564159642837613457928825963741794821356
980700600750400000003090070500900080040000096000004500200007009090600800000010000,984723651751468923623195478512936784847251396369874512236587149195642837478319265
000000001001002000030010450003040610050700300640000000005100008010009000300050060,964537281581492736237618459873945612152786394649321875725163948416879523398254167
