hard,solutions
000000006008090010007300205300706500000800000000050002015000000200001007600000090,124578936538692714967314285391726548752843169846159372415967823289431657673285491
100070000000049000906080030000090007020000500008460120061800000300000008005000002,142573986853649271976281435514392867629718543738465129261857394397124658485936712
004307000000000300000080201410600090009030500700009008060000050300000100500010007,124367985875921346936584271412658793689732514753149628261473859347895162598216437
020509040005000001904060300000695000006008000400000002030700010000030006708000000,123589647865347291974261385287695134316428759459173862632754918591832476748916523
900300004100020005002000301200609003609050000000000000480900070000000040000810000,965381724173426985842597361214679853639258417758143296486935172391762548527814639
000500000000000901050004000600400000073000804002006003000700600900000702004802030,317569428246387951859214376695438217173925864482176593521743689938651742764892135
040000100002650040080000500600000001001009000908200003063008020000407000000500800,345982167792651348186734592627345981431879256958216473563198724819427635274563819
100050600050109020000000000000000064370004010800000000000061803007000000900005000,123457689456189327789326451291538764375694218864712935542961873617843592938275146
000080002070020000130500700000102500040060000500900003000000309019050400007000060,954781632876324951132596784798132546243865197561947823425678319619253478387419265
036000040007500000000030000004900060700040800600000370059000000000100759400600000,836792541147568923925431687584973162713246895692815374259387416368124759471659238
050004000700300002004902001000061700007000005540003010020000080690000300001000000,952614873716385492834972561283561749167849235549723618325496187698157324471238956
000020708401000000000000900300401050070000200000600000600500000080090000000000030,953124768461789325728365914392471856176958243845632197639517482584293671217846539
000627000003000100950000000800000007030019000060308000500000090097000086006000004,148627359673895142952143678815264937234719865769358421521486793497531286386972514
003000000406000000080231006200090071500000008000040003000070000000000090001068007,123456789456789132789231546238695471594317268617842953362974815875123694941568327
300100070000900800009500000700000009020030700008004050000000500100708000000000247,385146972417923865269587431734815629521639784698274153973462518142758396856391247
004080006000000050050601840010000008009004030700030000000240980060050000000100600,124385796836497251957621843213569478689714532745832169371246985462958317598173624
003500080800001070000000301200010000070024900600007000302006008450008000000000460,123579684845361279967482351239615847571824936684937125312746598456298713798153462
000001000904680001006030007000000600600009004402500083000800040300190000000000078,853721496974685231126934857739248615685319724412576983267853149348197562591462378
700050000000784030000001000040000071007000009029400050800016000030000605000000200,713652984965784132284931567648295371357168429129473856892516743431827695576349218
000000100000000205680004000003000000000073000900600001002900500100080700490100006,279538164314769285685214973823491657561873492947625831732946518156382749498157326
500070000000040600003000090200000701000908000000300000420000500000100080060000000,596873142812549673743261895289654731637918254154327968428736519375192486961485327
000000000060000312000085070057003006900010200030000000600090800300001700090007001,719362458568479312423185679157243986946718235832956147671594823385621794294837561
000010000000800490000000867050000000170003000300000040506200000000900000042608700,897416532635872491421395867259164378174583629368729145516237984783941256942658713
027004600800090000050000001540000000001000008200030910000600070000002000002807046,127384695863591724954726831549178362731269458286435917418653279675942183392817546
000080002060004000070000809004020008000001035003000600006000000050790000100006050,345987162869214573271635849614523798927861435583479621736152984452798316198346257
800000001000950000000000000000070420301600000000000000040000570600308000000000200,895432761416957382732816945968571423321694857574283619243169578657328194189745236
100070008040600000005001000000030950009000002000004010001090600052000800700203000,123479568847652391965381274214738956379516482586924713431895627652147839798263145
007200000050001003400008000840000000000002059600070300300020000020600007000300401,187253964259461783463798215845936172731842659692175348314527896928614537576389421
004000003000701000076000001002000000000900008080200050250800090060007040000003000,124689573835741962976352481512478639643915728789236154251864397368197245497523816
060000005007004080000090200020500030080000007004300001500080400000071000600000009,463812795297654183815793264129547638386129547754368921531986472948271356672435819
600890010000050000000000800027400000030000005400007000200600000085004002100000039,653892417748351296912746853527483961836129745491567328279635184385914672164278539
500470000020000900000000000030109000000000087000200000704060000000003100800000000,589472613326815974471396825237189456195634287648257391714968532952743168863521749
000010080000000500600348001070000006000960000420000900040072000701000030000800050,237516489814297563695348271379125846158964327426783915543672198781459632962831754
000400007047900060050007000200300000004000608008004002000005090600190020030800000,123456987847931265956287431261378549374529618598614372412765893685193724739842156
000530091000640000000009020004360000700000006093005100380400057002050000009000000,846532791927641385135789624214368579758194236693275148381426957462957813579813462
500700600003800000000000200620400000000000091700000000000035080400000100000090000,582743619963821547174956238621479853348562791795318426217635984439287165856194372
601000030000800200900000000047000500000070000000060000080502000300000001000400090,621759438475836219938241657147928563563174982892365174789512346354697821216483795
003000600000001090070050000018000050020070100609000072000830010000200000400067300,143792685852641793976358241718423956524976138639185472267839514395214867481567329
900600800053080200000000005004010020030004000000002000001009703000050009008700000,947625831153487296826391475684513927235974168719862354561249783372158649498736512
100500680000000000005786000000000006009000240006054017050602070001070000008090103,172539684863241795945786321417928536539167248286354917354612879691873452728495163
000000000970640000100000090510070043000100000096050170000007530002060410000800000,824539761973641285165782394518276943237194856496358172681427539752963418349815627
003000780006009000700000005007000003000020090000004210500300006800002000900500000,123456789456789132789213645247195863318627594695834217571348926864972351932561478
050000008800203000003001040230004050600000700008090000006540080007000100000000030,152469378874253691963781542231674859695328714748195263316542987487936125529817436
800070000004005300070200040009000020000000000503080100060004070000000506000067003,836471952124695387975238641719346825682519734543782169361954278497823516258167493
100000060007200004900000070030490000000000000690008050320807000006000010000506830,142379568867251394953684271231495687578163429694728153325817946486932715719546832
000020680900300000000060300090006007010000800306008020000005000402010900080900070,173529684964381752825764391298456137517293846346178529739645218452817963681932475
050701000208000060000000000040300500902000000600080000070100300000020090000000000,354761928218934765796258134147392586982615473635487219879146352461523897523879641
400800000007240000020000070250009600030750000040000009000005000000001590000900260,463897125517246938829513476251389647936754812748162359394625781682471593175938264
090000020005004000000061000006000108000300070000000600230900000000080400700000000,491837526365294781827561349576429138182356974943178652234915867659782413718643295
007400500600002000000000000000710800200000100300000000500000030040900000000000026,127438569684592371935671284456713892279864153318259647562147938843926715791385426
200040500010000030000000000006000802070309000000100000400050600000700090008000000,239847561614592738785613924396475812871329456542168379427951683163784295958236147
060070000000800020010000000000000605400300000000000700200060040803100000000050100,968472351734815926512639478189724635475386219326591784251963847893147562647258193
001300000060000020340090000400900700009460005200100000000603001000008050608000400,581324697967851324342796518413985762879462135256137849795643281134278956628519473
001900060000008000048030005009072000005000000000000702000800100086401073000300400,321945867657218394948736215839672541275184639164593782493857126586421973712369458
160400030000000070580020001010900000400000008028006090000738000000000506004000000,162457839943861275587329461615983742439172658728546193256738914371294586894615327
005000010004003000200704000500002600001060500090078140009000080008020006000000300,975286413684913725213754869547132698821469537396578142739645281458321976162897354
030090001800000600017006000700201040000000870000003000060002350400300000008000009,536498721849127635217536984793281546152964873684753192961842357475319268328675419
000010000090208706000006850005400000604300070089000500000000000300007280040100000,568713492491258736273946851135479628624385179789621543952864317316597284847132965
050090000100000600000308000008040009514000000030000200000000004080006007700150060,856491372143572698927368451278645139514923786639817245361789524485236917792154863
002009000060031000070650400010300000500000007008020009001900000080070095000000304,152489763864731952973652481217396548539814627648527139321945876486173295795268314
000007302060350009080000040720000006019000004000005200000510000800032000004070900,941687352267354189583291647725143896619728534438965271372519468896432715154876923
009020000000040600001000080000109030540000000000800000050000706700300000000000200,469528371835741629271693485627159834548236197193874562354982716712365948986417253
720000000060000008008900040000080006300007020090030400000040007270003000000050910,729864135465321798138975642512489376346517829897236451953148267271693584684752913
020000000806090070900350000000060009070010680000000005301004000002100000780006310,125678493836492571947351268213865749574913682698247135351784926462139857789526314
005090040007000080000208003600300020000000704001000000000047950000800000800000006,285193647937465281164278593678354129523981764491726835312647958756839412849512376
030001000800002000002790005000070008010080020000003970057400010080009000006000004,934561782875342691162798435623975148719684523548123976257436819481259367396817254
030000400000000002100450090009760030008000000600010007402037000000090006000100050,835279461964381572127456398219764835578923614643815927452637189381592746796148253
090007100008000260000000050006003002701095000000600000073800000000040006602000700,295367148348951267167284359856173492721495683934628571473816925519742836682539714
900000200007000003060200080000000002649000500051700060004005900000104600090000000,913478256827956143465213789378561492649832571251749368134685927782194635596327814
006000500003004000200070400009300070000460000800002300070090020000500016100000000,746831592983254167215679438429385671531467289867912354674193825392548716158726943
002000005010003600000004029609007040020001006500400000006090702008000090000300000,832679415914253687765814329689537241423981576571462938346198752258746193197325864
000008000030005700004000061000060300700020000902040000001000090370000500000300000,617498235238615749594732861145967382763821954982543617851276493379184526426359178
602050000000004030000000000430008000010000200000000700500270000000000081000600000,682153479951764832374892165437528916816947253295316748568271394729435681143689527
008000000900000100010007400000000025000028000730100000000050000003042080504010706,248531679957264138316987452189476325465328917732195864871659243693742581524813796
060050403020100000000000700403000600700500000000200000000080050600040000000000010,167852493924173568538496721453719682712568349896234175241387956685941237379625814
052000000060009000900080053010702030000030107008000040000070890000006000005000002,152367984863459721974281653416792538529834167738615249241573896387926415695148372
000000520080400000030009000501000600200700000000300000600010000000000704000000030,416837529982465371735129468571298643293746185864351297647913852359682714128574936
403500020000061000700000000000089500000300800200000000000400070090000600010000000,463598721928761453751234968376189542145327896289645317832456179597812634614973285
002000730000097200000400006390010000000070000800600100000903008004000305000001020,952168734468397251713452986396814572541279863827635149275943618184726395639581427
006300000000000100820001007900040010300297000000000500000510080004008030000002600,176324958459786123823951467967845312315297846248163579632519784594678231781432695
007000000004800000000123005000910004600002900010000200400000000070000109000306800,157649328324857691869123475732918564648532917915764283483291756276485139591376842
004300050003800200008000700000500000000030040700020001000075600900100080500000400,674392158153847296298651734469518327821736945735924861382475619947163582516289473
100530070048000000000200000000068100300000002000001000010000400500700000000000600,169534278248197536753286914472368195391475862685921743817653429526749381934812657
020700090004000071005060000009073000300056010000000040010000008600008000090002004,126784395834295671975361482249173856387456219561829743412537968653948127798612534
000478300007003290030000400200050000006800000014000020093000000700020010000600005,962478351147563298835291476289754163376812549514936827693145782758329614421687935
100049000060300000000000000000500107402000090300000000070600900000000420000000010,135849672269357841748261359896524137412736598357198264574612983681973425923485716
003080000000500000708400030809006007400700060000000100032000540500003670000000009,263987415194532786758461932819346257425719863376825194932678541541293678687154329
000000800070090010003007005100600000050020040008009007400000200060010050000006003,925361874874592316613487925197634582356728149248159637439875261762913458581246793
000600000008090010006015400000000971520070004000800200700300000000560002460007000,147638529358492617296715438834256971521973864679841253785329146913564782462187395
700000480000601000000000020000300605200080000000000000063000001050100000000040700,712935486384621597596874123849312675235786914671459238463297851957168342128543769
140000006007000930003000000005070090300410500090800000020008600000007850000100004,142593786857624931963781245215376498378419562496852173524938617631247859789165324
600000300050090080002006009800000700070050040000001005100300500040020060008007002,689514327457293681312876459835942716971658243264731895126389574743125968598467132
400000060000940050109060000000000000006002005052310008070008001000000700008050306,425187963687943152139265874841596237396872415752314698974638521563421789218759346
068200007000000000100608900230009040000005000004300700300010080000000300090080062,968231457523497618147658923236179845719845236854362791372916584681524379495783162
000500600850700000904000000000100070000000104000049250012300700000002000000008030,123594687856723941974681325245136879389257164761849253412365798538972416697418532
002040308600002040008000700500000007000000900004371005000910000403200080060000000,752146398639782541148593726516429837327658914894371265285914673473265189961837452
000406007002090006000000150000008920500000070007050400630100000000089000019000502,158436297372591846946872153463718925591264378287953461634125789725389614819647532
708000300000601000400000000060000025300080000000100090090500002000070400000000000,718925364935641278426738519167493825359286147842157693693514782281379456574862931
000000410900300000300050000048007000000000062010000000600200005070000800000090000,857629413924318657361754928248167539793485162516932784689271345172543896435896271
080710000000400010009002050304601000000000300200000600090003207002800100600020000,583716492726495813149382756374651928965278341218934675891543267452867139637129584
000030071500402000000000000200600400038070000000000000070080010600500200000000000,824935671567412893193768542251693487938274156746851329472386915619547238385129764
000503602030690050050700000709002000010000900080900000000006300001000067500370010,174583692832694751956721843749862135615437928283915476427156389391248567568379214
020070930000000008700000050800004000300100060000090100490800005000003000056002000,628571934945236718731489256819364572374125869562798143493817625287653491156942387
000090000000681040000400201000030006001000000000026859047000000000905000208000100,184592637732681945569473281825739416691854372473126859947218563316945728258367194
004000089000102060006000700200804010040000500030000008000070000000501000015439800,524367189379182465186945732257894613648213597931756248492678351863521974715439826
020004800054000600900000001000507068000030100080002000300000000070908052000070000,123694875854721693967385241231547968645839127789162534312456789476918352598273416
010620000500000043000090000700000080005000004000100000000003600090000200800007000,319624857562871943478395162721439586985762314643158729254983671197546238836217495
100030800000900020000205060006300005080090000007000100005000000629800000008060400,152436897863971524974285361246318975381597246597642138415723689629854713738169452
005400000040080700000003005003026089100000000000307020009040003000000060020500008,735412896941685732286973145573126489162894357498357621659748213817239564324561978
005080000007500900000741000014300600060000500000010300000000032003050700700400006,125689473847523961936741285214375698368294517579816324451967832683152749792438156
580030000000000021900000000760200000040000800000090500000401070300000000000600000,581932746437568921926147358769285134245316897813794562698451273374829615152673489
000400062050810000007000000102908000000000300900060000024100600001006700600000230,893457162256813947417692853142938576768245319935761428324179685581326794679584231
050302000000001600800500070070000300000950002000203709040005800600820000780000000,156372498927481653834569271279618345463957182518243769342795816691824537785136924
100000907800400006002300000000000008080500730604980000000109002005000000400050070,136825947857491326942367581513274698289516734674983215768139452325748169491652873
036100020800060000000000007000005000090021300004000019020000700500894000000000100,436179825872563941159248637361985472795421386284637519928316754517894263643752198
000003080200004060001500007037000450060000000000800000015408006700010000004090001,576923184298174365341586297837261459469357812152849673915438726723615948684792531
850000040060500003020008700010000400000000069700090500300900000400017020000200300,853729641967541283124638795519863472238475169746192538372956814485317926691284357
300500100000100500100000329008600000000000007240000000020003000005009080009008060,384592176792136548156847329918675432563924817247381695821763954675419283439258761
020031600000009380903500001000000800010600040206097000090000560000000000500002038,824731695165249387973586421459123876317658249286497153798314562632875914541962738
080000020005004000000061000006000107000900030000000600230800000000070400900000000,481793526695284371723561948356428197172956834849137652234819765568372419917645283
000080610053000000000000502000400000020058007400709050964000000000020860300000700,297584613153276948846391572735462189629158437418739256964817325571923864382645791
704000002000801000300000000050600100200040000000000050000370000090000600080000090,714596832925831746368427915459683127271945368836712459642379581193258674587164293
070060045000001800400800000620100000000500001000000237003004000002050300090006050,978362145235491876416875923627143589389527461541689237853714692762958314194236758
630000004005000000740030060020405000000001900000060007004020090250908000000500100,632159874985674231741832569127495386463781952598263417814327695256918743379546128
000503000000000062000000970500400000000000190780010000201600008400075300000002000,927563481134789562856241973519427836642358197783916245291634758468175329375892614
007000600800000053060400097750000100001030000090000006000702008025600000000004000,937528614814967253562413897756849132481236975293175486149752368325681749678394521
006000000350010000017003050000009040020350008000200600000000090672000003080000706,246597381359418267817623459563879142421356978798241635135762894672984513984135726
000750000000048020300000006006000000001000074050402100070000300900005018020900000,812756943569348721347291856496817532281539674753462189678124395934675218125983467
020000500000060340900300000200000000009100064007090010031078000040005000000000430,123784596875269341964351782216843957359127864487596213531478629642935178798612435
070060005900210030000000604200030000000006008010709050004050200107300000000001000,471863925956214837823975614249538176735126498618749352394657281167382549582491763
020000160000070500000010000000608040300200000105000000500000703000400000080000000,723584169491376582856912437279658341348291675165743298514869723937425816682137954
200300005300059100000070400500008000701040000000200060000000204005000008890003000,218364975347859126956172483562718349731946852489235761673581294125497638894623517
102500600805000020000000500010000068008170040040603000000430070000009400090010000,132548697865791324974362581513924768628175943749683152251436879387259416496817235
040020000007080000100650000024003010009000048050090700000000005006000891900000076,543129687697384152182657934724863519369571248851492763478916325236745891915238476
800600002900000000071000800765000000200005070000060090013040000000006407000080000,854691732926378541371254869765429183239815674148763295613547928582936417497182356
000000800200400000001200045040070000502000009803000600000300500108500090000740160,496153872257489316381267945649875231512634789873912654764391528138526497925748163
203000007500070098700400005000006700000090100007308009106000020300050000050002000,263985417541673298789421365915246783638597142427318659176839524392154876854762931
010000040009002000260007009720500800001000500000010020000420000036800100000000003,817935246359642718264187359723594861981276534645318927178423695436859172592761483
100460070007000004960000080006003800040010000000020030000000002080900500705002000,123468975857391624964275381216753849348619257579824136431586792682947513795132468
000500000000070103000103074002060009500004000074000010050800600000009025000300090,137548962495672183826193574382761459519284736674935218953827641768419325241356897
063400000900000000000900250000000009609000540000000070017600005080203060000074020,163425798925867314748931256432756189679182543851349672217698435584213967396574821
020000000700600010000080609090000004000000502500170090000050000307049000400700003,623915748789624315145387629296538174871496532534172896918253467367849251452761983
030060000800090200900340001000000800000000000009080546206400000007200050000050007,132768495874591263965342781513624879648975132729183546256437918387219654491856327
000700002080000100090000000706000030000091000200000000000050840300600000000400500,163784952482539167597162384716845239834291675259376418621957843345628791978413526
097068000000074100050000000910000080002001005000000000400090070080400000720080060,197568243263974158854312796915236487672841935348759621431695872586427319729183564
013900000700000000000240010000001000480060000000003906000000000205000740060004890,613957428742138569958246317376891254489562173521473986894715632235689741167324895
609000008000301000400000000000060004020000030070000500010500070800090000000000200,639752148287341965451986327598263714124875639376419582913524876862197453745638291
390600000002000000040030850000005000060010090000400000015060030000000700000007082,398654271572189643641732859183975426264813597957426318715268934829341765436597182
003000090050200000007361000000000710400008000000030006000500830085020000200014000,823475691156289374947361258368942715471658923592137486714596832685723149239814567
000201300070000090500000000400090080800000100000300200900070050001600000000000000,689251347172436895534987621416792583823564179795318264968173452251649738347825916
963000000100008000000205000040800000010000700000030025700000030009020407000000900,963741258152398674874265391345872169218956743697134825721489536589623417436517982
004000000200450010060000003007060009000120380000500000000007060000090002800000500,714983625239456718568712493187364259645129387923578146352847961471695832896231574
006350000800400000030020050370080604000030090400000008000067000000500040080000702,146359287852471936937628451379185624628734195415296378294867513763512849581943762
000020040070006000010500000200000080000300700409000000000600103800090000000000500,598723641374816952612549837237961485186354729459278316745682193863195274921437568
900018200005000000070930000029003080300600702700000000000090000107302006008006005,963518274845267139271934568529743681384651792716829453632495817157382946498176325
000307000400000008600000000000000090500001063032000700800019040005060100004050006,958347612471926538623185479746532891589471263132698754867219345395864127214753986
009600020100000030403000609080010000002050091000007000090000302000091700006000080,859673124167249538423185679985314267372856491641927853594768312238591746716432985
000075000010020000040003000500000302000800010000000600000100480200000000700000000,932475861617928534845613279568741392429836715173259648356192487294387156781564923
100500004064000390005000200000000008050100000000060120030006009600007000700038000,123589764864721395975643281216374958358192647497865123532416879681957432749238516
007602300900000000006793000060300500705000800004000020000016700000000004003507200,157642398932158467486793152869324571725961843314875926298416735571239684643587219
400600300010020060008007001900800500040050010000002007500000600030080040000009005,425618379317925468698347251973861524842753916156492837581274693739586142264139785
000507104000000020030100000002400300500000700001900000008060000300090065005000200,826537194157849623439126578792458316543612789681973452218365947374291865965784231
103700005000604000800000000000810000090000700060000090020000400500030000000000020,143792685952684317876351942735819264298463751461527893629175438584236179317948526
006700000010050086300006000600010002159004000000000800000800007000000300021600900,246798531917453286385126794678319452159284673432567819593842167864971325721635948
050020306609300420200000000000010004046000089010000000000800000000100070500460008,158724396679381425234596817892613754346275189715948263967832541483159672521467938
056000300070000080803001007010780900000900000000000043285600000000020005060009100,156278394972436581843591267614783952538942716729165843285617439391824675467359128
900000701020400000000000500701005000080000030000000000000820040109000000000390000,964583721527419683813762594791235468482176935356948217675821349139654872248397156
209000000080000700070001500410000030090002000000700008000600300000870010000039040,239587461185496723674321589417968235893152674562743198928614357346875912751239846
020000000006780100000002000001005004000040000900320605000000008007000030060203957,123456789456789123789132546231675894675948312948321675312597468597864231864213957
100090060050000040060030000000507002800400000900000000073200000000000800000000100,142895763358672941769134285614587392837429516925361478473218659291756834586943127
720010000040000803008000000000070031009520600000080040000002000001640009050000408,723819564145267893968435172586974231419523687372186945894752316231648759657391428
030640020102050030000000000800300079309000006004000010000070003000809000057000040,738641925192758634645293781821365479379412856564987312286574193413829567957136248
000000004004150090900006000026075040000000900400000080070000000640020700002000306,731289564264153897958746231826975143315864972497312685579631428643528719182497356
000010000710090000600200008000000050200300070005020000067100004100000003082670000,528416937713598426649237518471869352296345871835721649967153284154982763382674195
300060005090007000006000003200690500000001002040000006900010070004300080000008000,371869425492537168856124793218693547769451832543782916985216374124375689637948251
500200300000080090002004006600100900010000040007003008700300400090070020005006009,568291374134687592972534186623148957819752643457963218781329465396475821245816739
170004000300600700250000040000005800000000400000030015500700020000096000700301090,176584932394612758258973146921465873835127469647839215569748321413296587782351694
000000071020800000000503000709060000000200800100000000030002500600010040000000000,854926371326871954917543682789165423543297816162438795431782569675319248298654137
000070006000300970005062080300000701004500000000090000000000800700800023009040000,293478516468315972175962384352684791914537268687291435531726849746859123829143657
630200000000000085700000000091000000000800040000700600200000300000010004000059000,638275419142963785759148263491526837567831942823794651215487396986312574374659128
